,BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,Unnamed: 11
5283,250,Urdorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,62646,Fr.,Franken,
5315,251,Weiningen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,68652,Fr.,Franken,
5347,261,Zürich,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64871,Fr.,Franken,
5379,292,Stammheim,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,62869,Fr.,Franken,
5411,293,Wädenswil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,71381,Fr.,Franken,
5443,294,Elgg,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,61799,Fr.,Franken,
5475,295,Horgen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,78048,Fr.,Franken,
5507,296,Illnau-Effretikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,58776,Fr.,Franken,
5539,297,Bauma,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,56537,Fr.,Franken,
5571,298,Wiesendangen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,75281,Fr.,Franken,
5603,0,Bezirk Affoltern,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,74150,Fr.,Franken,
5635,0,Bezirk Andelfingen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66746,Fr.,Franken,
5667,0,Bezirk Bülach,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64717,Fr.,Franken,
5699,0,Bezirk Dielsdorf,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64187,Fr.,Franken,
5731,0,Bezirk Dietikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64234,Fr.,Franken,
5763,0,Bezirk Hinwil,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60201,Fr.,Franken,
5795,0,Bezirk Horgen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,83937,Fr.,Franken,
5827,0,Bezirk Meilen,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,113439,Fr.,Franken,
5859,0,Bezirk Pfäffikon,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65013,Fr.,Franken,
5891,0,Bezirk Uster,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69832,Fr.,Franken,
5923,0,Bezirk Winterthur,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,59668,Fr.,Franken,
5955,0,Bezirk Zürich,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64871,Fr.,Franken,
5987,0,Region Furttal,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64247,Fr.,Franken,
6019,0,Region Glattal,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66815,Fr.,Franken,
6051,0,Region Knonaueramt,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,74150,Fr.,Franken,
6083,0,Region Limmattal,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64234,Fr.,Franken,
6115,0,Region Oberland,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,63004,Fr.,Franken,
6147,0,Region Pfannenstiel,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,110773,Fr.,Franken,
6179,0,Region Unterland,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,65553,Fr.,Franken,
6211,0,Region Weinland,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,66746,Fr.,Franken,
6243,0,Region Winterthur u. Umg.,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,60035,Fr.,Franken,
6275,0,Region Zimmerberg,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,83937,Fr.,Franken,
6307,0,Region Zürich,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,64871,Fr.,Franken,
6339,0,Zürich - ganzer Kanton,Öffentliche Finanzen,Gemeindesteuern,Steuergrundlagen,282,Ø steuerbares Einkommen natürliche Pers. [Fr.],2021,69538,Fr.,Franken,
