,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,name,opening_hours,operator,shop,wheelchair,geometry,bus,highway,public_transport,addr:city,addr:country,addr:postcode,addr:street,toilets:wheelchair,addr:suburb,contact:phone,nodes,building,addr:housename,addr:housenumber,branch,phone,alt_name,website,check_date:opening_hours,organic,source,wheelchair:description,level,opening_hours:covid19,post_box:location,payment:twint,kids_area,internet_access,internet_access:fee,description,emergency,emergency:phone,building:levels,delivery:covid19,indoor,room,source:opening_hours,takeaway,addr:place,check_date,entrance,start_date,amenity,capacity,fee,parking,access,operator:wikidata,name:en,layer,building:material,payment:cash,payment:credit_cards,payment:debit_cards,roof:colour,building:roof,payment:postfinance_card,surface,capacity:disabled,maxstay,roof:shape,roof:levels,park_ride,supervised,wikidata,lit,disused:shop,fixme,operator:type,payment:contactless,toilets,payment:coins,payment:notes,payment:telephone_cards,landuse,toilets:access,name:it,payment:maestro,smoking
34,node/1831310604,1831310604,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Sa 08:00-19:00,Genossenschaft Migros Zürich,supermarket,yes,POINT (8.6375562 47.2353206),,,,Wädenswil,,8820,Rütistrasse,,,,,,,1,Wädenswil Zürisee-Center,,Migros Zürisee-Center,https://filialen.migros.ch/de/migros-supermarkt-waedenswil-zuerisee-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,node/1989668103,1989668103,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 09:00-21:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.7932039 47.2004223),,,,Pfäffikon,,8808,Gwattstrasse,,,,,,,11,Pfäffikon Seedammcenter,,Migros Seedammcenter (MM),https://filialen.migros.ch/de/migros-supermarkt-pfaeffikon-seedammcenter,,,,,0,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,node/2090983741,2090983741,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off",Genossenschaft Migros Luzern,supermarket,yes,POINT (8.5151339 47.16526),,,,Zug,,6300,Grabenstrasse,,,,,,,5,Zug Grabenstrasse,,Migros Grabenstrasse,https://filialen.migros.ch/de/migros-supermarkt-zug-grabenstrasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,node/2352059118,2352059118,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 07:30-20:00, Sa 07:30-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.8372849 47.2314561),,,,Jona,,8645,Molkereistrasse,,,,,,,5,Jona Stadttor,,Migros Jona,https://filialen.migros.ch/de/migros-supermarkt-jona-stadttor,2022-09-04,,local knowledge,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,node/2570311006,2570311006,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.8551943 47.1916974),,,,Lachen,CH,8853,Feldstrasse,,,,,,,6,Lachen Obersee-Center,+41 55 451 85 30,Migros Lachen (MM),https://filialen.migros.ch/de/migros-supermarkt-lachen,,,migros.ch,,1,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,node/2577948127,2577948127,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Zürich,supermarket,yes,POINT (8.7461406 47.1287297),,,,,,,,,,,,,,,Einsiedeln,+41 55 418 84 54,Migros Einsiedeln (MM),https://filialen.migros.ch/de/migros-supermarkt-einsiedeln,,,Migros.ch,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,node/2866812512,2866812512,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Luzern,supermarket,,POINT (8.5509558 47.0508444),,,,Goldau,,6410,Parkstrasse,,,,,,,25,Goldau,,Migros Goldau,https://filialen.migros.ch/de/migros-supermarkt-goldau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,node/3510810512,3510810512,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 09:00-20:00, Fr 09:00-21:00, Sa 08:00-18:00",Genossenschaft Migros Luzern,supermarket,,POINT (8.6458641 47.0154045),,,,Ibach,,6438,Mythencenterstrasse,,,,,,,18,Ibach Mythen-Center,,Migros Mythen-Center (MMM),https://filialen.migros.ch/de/migros-supermarkt-ibach-schwyz-mythen-center,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,node/3847638104,3847638104,node,Migros,Q680727,en:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Th 07:30-19:00, Fr 07:30-21:00, Sa 07:30-17:00; PH off",Genossenschaft Migros Luzern,supermarket,yes,POINT (8.5248613 47.1955485),,,,Baar,,6340,Bahnhofstrasse,,,,,,,5,Baar,,Migros Baar,https://filialen.migros.ch/de/migros-supermarkt-baar,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,node/5580617894,5580617894,node,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00; PH off,Genossenschaft Migros Luzern,supermarket,,POINT (8.4848331 47.1971269),,,,Steinhausen,,6312,Bahnhofstrasse,,,,,,,2,Steinhausen Dorf,,Migros Steinhausen,https://filialen.migros.ch/de/migros-supermarkt-steinhausen-dorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,node/7390289542,7390289542,node,Migros,Q680727,en:Migros,,,,,Migros,"Mo-Th 07:30-19:00, Fr 07:30-20:00, Sa 07:30-17:00; PH off",Genossenschaft Migros Luzern,supermarket,,POINT (8.505334 47.1779096),,,,Zug,,6300,Hertizentrum,,,,,,,10,Zug Herti,,Migros Herti,https://filialen.migros.ch/de/migros-supermarkt-zug-herti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,node/7390289543,7390289543,node,Migros,Q680727,de:Migros,,,,,Migros,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",Genossenschaft Migros Zürich,supermarket,,POINT (8.7130911 47.1757272),,,,Schindellegi,,8834,Pfäffikonerstrasse,,,,,,,19,Schindellegi,,Migros Schindellegi,https://filialen.migros.ch/de/migros-supermarkt-schindellegi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,node/7637818880,7637818880,node,,,,,,,,Migros,,,,,POINT (8.44121 47.0834866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kundendienst,defibrillator,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,way/25808766,25808766,way,Migros,Q680727,de:Migros,migros_bank;postfinance_card,no,no,checkout,Migros,"Mo-Fr 07:30-20:00, Sa 07:30-18:00; PH off",Genossenschaft Migros Zürich,supermarket,,"POLYGON ((8.7057522 47.2065099, 8.7058024 47.2064722, 8.7054679 47.2062478, 8.7051181 47.2064882, 8.7054936 47.2067404, 8.705793 47.2065344, 8.7057522 47.2065099))",,,,Richterswil,CH,8805,Schützengass,,,,"[281506733, 413093222, 281506734, 281506735, 281506736, 413093225, 281506733]",retail,,4,Richterswil,+41 44 784 01 93,Migros Richterswil,https://filialen.migros.ch/de/migros-supermarkt-richterswil,,,migros.ch,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
