,unique_id,osmid,element_type,brand,brand:wikidata,brand:wikipedia,name,shop,geometry,cash_withdrawal,cash_withdrawal:fee,cash_withdrawal:purchase_required,cash_withdrawal:type,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,opening_hours,contact:phone,operator,phone,nodes,building,building:levels,roof:levels,roof:shape,branch,level,organic,payment:cash,payment:maestro,toilets:wheelchair,website,amenity,entrance,access,capacity:disabled,fee,lit,parking,surface,start_date,source,smoking,capacity,landuse,bus,highway,public_transport,name:it,addr:suburb,addr:housename,toilets,toilets:access,check_date:opening_hours,wheelchair:description,opening_hours:covid19,payment:twint,internet_access,addr:place,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:notes,payment:telephone_cards,kids_area,building:material,roof:colour,payment:postfinance_card,name:de,ele,source:opening_hours,takeaway,check_date,diet:halal,diet:kosher,post_box:location,network,uic_name,uic_ref,indoor,layer,internet_access:fee,description,emergency,emergency:phone,fixme,delivery:covid19,room,maxheight,building:part,payment:mastercard,payment:visa,departures_board,access:covid19,changing_table,contact:website,dog,building:roof
124,node/279155942,279155942,node,,,,Migros,,POINT (8.2915624 47.1659554),,,,,,,,,,,,,,,,,,,,,,,,,,,,parking,,customers,,yes,,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,node/279155943,279155943,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.2914109 47.1661059),,,,,,Hochdorf,,5,6280,Hauptstrasse,Migros Hochdorf (MM),"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Hochdorf Seetal-Center,,,,,,https://filialen.migros.ch/de/migros-supermarkt-hochdorf-seetal-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,node/298540226,298540226,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.5377603 47.2913031),migros_bank;postfinance_card,no,no,checkout,,Langnau am Albis,,2,8135,Hintere Grundstrasse,Migros Langnau a.A.,"Mo-Fr 08:00-20:00, Sa 08:00-18:00; PH off",,Genossenschaft Migros Zürich,,,,,,,Langnau am Albis,,,,,,https://filialen.migros.ch/de/migros-supermarkt-langnau-a-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,node/298540370,298540370,node,Migros,Q680727,en:Migros,Migros,supermarket,POINT (8.5639941 47.2942957),migros_bank;postfinance_card,no,no,checkout,,Thalwil,,130,8800,Alte Landstrasse,Migros Thalwil (MM),Mo-Sa 07:30-20:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Thalwil,0,,,,,https://filialen.migros.ch/de/migros-supermarkt-thalwil,,,,,,,,,,,,,,,,,,,,,,2021-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,node/302821909,302821909,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.2724788 47.3494071),,,,,yes,Wohlen,,7,5610,Bahnhofstrasse,Migros Wohlen (MM),"Mo-We 08:00-19:00, Th-Fr 08:00-20:00, Sa 07:30-18:00; PH off",,Genossenschaft Migros Aare,,,,,,,Wohlen AG,,,,,yes,https://filialen.migros.ch/de/migros-supermarkt-wohlen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,node/312838980,312838980,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.5087992 47.3791999),,,,,yes,Zürich,,376,8004,Badenerstrasse,Migros Albisriederplatz,Mo-Sa 08:00-21:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Zürich Albisriederplatz,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-albisriederplatz,,,,,,,,,,,,,,,,,,,,,,2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,node/340481159,340481159,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.3488772 47.0954321),migros_bank;postfinance_card,no,no,checkout,yes,Buchrain,,,6033,Unterdorfstrasse,Migros Buchrain,"Mo-Fr 08:00-19:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Buchrain Tschannhof,,,,,yes,https://filialen.migros.ch/de/migros-supermarkt-buchrain-tschannhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,node/352860119,352860119,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.5200924 47.3701218),,,,,yes,Zürich,,140,8003,Birmensdorferstrasse,Migros Schmiede Wiedikon,Mo-Sa 07:30-21:00; PH off,,Genossenschaft Migros Zürich,,,,,,,Zürich Schmiede Wiedikon,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-schmiede-wiedikon,,,,,,,,,,,,,,,,,,,,,,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,node/401590212,401590212,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.3496696 47.3526298),migros_bank;postfinance_card,no,no,checkout,yes,Bremgarten AG,,2,5620,Zufikerstrasse,Migros Bremgarten AG (MM),"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off",,Genossenschaft Migros Aare,,,,,,,Bremgarten AG,1,,,,,https://filialen.migros.ch/de/migros-supermarkt-bremgarten-ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,node/442702205,442702205,node,Migros,Q680727,de:Migros,Migros,supermarket,POINT (8.275256 47.0778381),migros_bank;postfinance_card,no,no,checkout,yes,,,,,,Migros Emmenbrücke (MM),"Mo-Th 08:00-19:00, Fr 08:00-21:00, Sa 08:00-17:00; PH off",,Genossenschaft Migros Luzern,,,,,,,Emmenbrücke Sonnenplatz,,,,,,https://filialen.migros.ch/de/migros-supermarkt-emmenbruecke-sonnenplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
